iteration,timestamp,breakout_window,take_profit,stop_loss,vol_mult,max_hold_bars,n_trades,win_rate,gross_pnl,total_slippage,total_gas,net_pnl,cagr,sharpe,max_dd,sortino,gate_passed,notes
412,2026-09-18T00:27:09.650281,20,0.12,0.04,2.5,240,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
413,2026-09-18T00:27:09.912285,20,0.12,0.04,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
414,2026-09-18T00:27:10.175927,20,0.12,0.04,3.0,120,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
415,2026-09-18T00:27:10.442028,20,0.12,0.04,3.0,180,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
416,2026-09-18T00:27:10.703128,20,0.12,0.04,3.0,240,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
417,2026-09-18T00:27:10.942398,20,0.12,0.06,1.5,60,570,4.91,423.32,3426.12,570.0,-3572.8,-91.32,-56.22,-34.73,-15.29,False,
418,2026-09-18T00:27:11.187657,20,0.12,0.06,1.5,120,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
419,2026-09-18T00:27:11.638344,20,0.12,0.06,1.5,180,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
420,2026-09-18T00:27:11.874304,20,0.12,0.06,1.5,240,567,5.11,439.28,3416.83,567.0,-3544.55,-91.1,-54.72,-34.45,-15.26,False,
421,2026-09-18T00:27:12.132983,20,0.12,0.06,2.0,60,141,6.38,192.09,998.24,141.0,-947.15,-42.34,-24.44,-9.17,-13.39,False,
422,2026-09-18T00:27:12.396453,20,0.12,0.06,2.0,120,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
423,2026-09-18T00:27:12.646487,20,0.12,0.06,2.0,180,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
424,2026-09-18T00:27:12.903254,20,0.12,0.06,2.0,240,141,7.09,208.38,999.83,141.0,-932.45,-41.81,-23.9,-9.02,-13.3,False,
425,2026-09-18T00:27:13.165774,20,0.12,0.06,2.5,60,52,9.62,100.38,380.31,52.0,-331.93,-17.18,-14.81,-3.24,-11.02,False,
426,2026-09-18T00:27:13.431284,20,0.12,0.06,2.5,120,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
427,2026-09-18T00:27:43.250674,20,0.12,0.06,2.5,180,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
428,2026-09-18T00:28:21.648901,20,0.12,0.06,2.5,240,52,11.54,116.76,381.11,52.0,-316.35,-16.42,-13.03,-3.08,-10.49,False,
429,2026-09-18T00:28:36.543086,20,0.12,0.06,3.0,60,22,4.55,32.21,162.04,22.0,-151.84,-7.95,-10.86,-1.51,-9.19,False,
